tick,time,Steer,Brake,Throttle,Distance_Bicycle,Distance_Motorbike,Distance_SmallCar,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,Speed_kmh,Heading,GNSS_Latitude,GNSS_Longitude,Height,Reverse,Hand_Brake,Manual,Gear,Collision_History,Nearby_Vehicles_Count,Nearby_Vehicles_Details
0,21:45:55:301,-0.011883607134222984,0.0,0.39274919033050537,162.8270139023094,366.8667765645651,581.1606075029416,-433.8999938964844,34.900001525878906,0.7184584140777588,0.0,0.0,0.0,17.910197067260743,N,,,,False,False,False,N,,,
1,21:45:55:322,-0.011883607134222984,0.0,0.39274919033050537,162.8273532916093,366.86930931595055,581.1617062117831,-433.8999938964844,34.900001525878906,0.6305593252182007,0.0,0.0,0.0,18.51805171966553,N,,,,False,False,False,N,,,
2,21:45:55:343,-0.011883607134222984,0.0,0.8640457987785339,162.8277661603721,366.87199091751256,581.162948851897,-433.8999938964844,34.900001525878906,0.5382840633392334,0.0,0.0,0.0,19.135491943359376,N,,,,False,False,False,N,,,
3,21:45:55:364,-0.011883607134222984,0.0,0.8640457987785339,162.8277661603721,366.87199091751256,581.162948851897,-433.8999938964844,34.900001525878906,0.5382840633392334,0.0,0.0,0.0,19.135491943359376,N,,,,False,False,False,N,,,
4,21:45:55:383,-0.011883607134222984,0.0,0.8640457987785339,162.8277661603721,366.87199091751256,581.162948851897,-433.8999938964844,34.900001525878906,0.5382840633392334,0.0,0.0,0.0,19.135491943359376,N,,,,False,False,False,N,,,
5,21:45:55:405,-0.011883607134222984,0.0,0.9618786573410034,162.83043965814952,366.8845168309292,581.1702900775371,-433.8999938964844,34.900001525878906,0.0946066677570343,0.0,0.0,0.0,21.86403579711914,N,,,,False,False,False,N,,,
6,21:45:55:434,-0.011883607134222984,0.0,0.9855148196220398,162.83138645065702,366.88797773470554,581.1722717391114,-433.8999938964844,34.900001525878906,-0.019013212993741035,0.0,0.0,0.0,18.66025428772182,N,,,,False,False,False,N,,,
7,21:45:55:449,-0.011883607134222984,0.0,0.9855148196220398,162.83203829774067,366.8903662623798,581.1737449956264,-433.8999938964844,34.900001525878906,-0.09744201600551605,0.0,0.0,0.0,14.411770820619374,N,,,,False,False,False,N,,,
8,21:45:55:481,-0.011883607134222984,0.0,0.9906898140907288,162.83157749990113,366.88988463876956,581.1735944650604,-433.8996276855469,34.90007400512695,-0.09662345796823502,0.053432565182447433,0.0004619963001459837,-0.0964660495519638,1.4835612411285322,N,,,,False,False,False,N,,,
9,21:45:55:490,-0.011883607134222984,0.0,0.9906898140907288,162.8307834520519,366.8888841155967,581.1730232908521,-433.89892578125,34.90008544921875,-0.0897655114531517,0.17099377512931824,-0.00030517575214616954,-0.3057250380516052,1.4869559006277788,N,,,,False,False,False,N,,,
