steerCmd,brakeCmd,throttleCmd
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.82886657418223
0,0,0,366.8714097376955
0,0,0,571.3780267324897
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.82956001306482
0,0,0,366.87556755506694
0,0,0,571.3802298412646
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.82993807756006
0,0,0,366.8801869636239
0,0,0,571.382678151344
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83020325987795
0,0,0,366.88341865666763
0,0,0,571.3843610155545
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83075634122352
0,0,0,366.8889649957525
0,0,0,571.387299524489
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83153046011603
0,0,0,366.8952956397715
0,0,0,571.3907239462961
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83267146791448
0,0,0,366.9019343623475
0,0,0,571.3944022626885
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83521887246914
0,0,0,366.9125409955958
0,0,0,571.400193753993
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83591201232144
0,0,0,366.91518073520933
0,0,0,571.4016047935233
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.8342046837217
0,0,0,366.91244380171605
0,0,0,571.3997323976752
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83361906178072
0,0,0,366.91162663016706
0,0,0,571.3991308401386
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.8332142888242
0,0,0,366.91099976914586
0,0,0,571.3987358628045
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83298248495203
0,0,0,366.9101779754914
0,0,0,571.3984533076477
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83301093430174
0,0,0,366.90965250557434
0,0,0,571.3984522459654
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83318663178844
0,0,0,366.9093939818216
0,0,0,571.3986305335421
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.8333666511365
0,0,0,366.90935710442614
0,0,0,571.3987708095362
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.8333666511365
0,0,0,366.90935710442614
0,0,0,571.3987708095362
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83369229814377
0,0,0,366.9085798126734
0,0,0,571.3991533129614
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.8340250480164
0,0,0,366.9084518836737
0,0,0,571.3994691355222
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83411004450141
0,0,0,366.9084223506831
0,0,0,571.399543963
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.8342891488685
0,0,0,366.90827234684417
0,0,0,571.3997054612514
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83434882043062
0,0,0,366.90820245854275
0,0,0,571.3997585517448
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83447469192902
0,0,0,366.9079941998831
0,0,0,571.3998728791356
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83450668997654
0,0,0,366.90791969704344
0,0,0,571.3999017051709
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83457809386636
0,0,0,366.9075339644679
0,0,0,571.4000089627591
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83455230845436
0,0,0,366.90736967024793
0,0,0,571.4000106922883
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83463401088764
0,0,0,366.90645644066007
0,0,0,571.4000787760343
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83463666660893
0,0,0,366.9063342750916
0,0,0,571.4000796167413
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.8346430199181
0,0,0,366.90599482778305
0,0,0,571.4000805853744
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83464517897147
0,0,0,366.9058881624023
0,0,0,571.400081568177
0.0,0.6212635577612914,0.6212635577612914,0
0,0,0,162.83465572146915
0,0,0,366.90521084920584
0,0,0,571.400084385687
0.0016113282799488115,0,0.9906898294488262,0
0,0,0,162.83466472931892
0,0,0,366.9044634115711
0,0,0,571.4000872172651
-0.045523513214695374,0,0.9906898294488262,0
0,0,0,162.83467229320746
0,0,0,366.90385344593034
0,0,0,571.4000898208602
-0.05579866938856517,0,0.9906898294488262,0
0,0,0,162.83263102377487
0,0,0,366.90172427081023
0,0,0,571.398045883623
-0.0594254951714826,0,0.9906898294488262,0
0,0,0,162.8092522816068
0,0,0,366.87767714810076
0,0,0,571.374632841802
-0.06123897251717256,0,0.9906898294488262,0
0,0,0,162.79726949724306
0,0,0,366.86561228106984
0,0,0,571.3626346205352
-0.06123897251717256,0,0.9906898294488262,0
0,0,0,162.7685163970125
0,0,0,366.8365790036361
0,0,0,571.3338416530847
-0.05912325320355843,0,0.9906898294488262,0
0,0,0,162.7455247165486
0,0,0,366.8134355619984
0,0,0,571.3108172956316
-0.053280136932657846,0,0.9906898294488262,0
0,0,0,162.68063480908586
0,0,0,366.7477818868361
0,0,0,571.2458356498221
-0.04925063968303148,0,0.9906898294488262,0
0,0,0,162.65593254003093
0,0,0,366.7229777767156
0,0,0,571.2211033627866
-0.04230016620094844,0,0.9932669851660886,0
0,0,0,162.60826521065246
0,0,0,366.6750140454864
0,0,0,571.1733830019936
-0.0375660501928904,0,0.9932669851660886,0
0,0,0,162.57852845399276
0,0,0,366.64516755865185
0,0,0,571.1436194077714
-0.028904092556262515,0,0.9932669851660886,0
0,0,0,162.52094486265145
0,0,0,366.58725235149643
0,0,0,571.0859902749016
-0.02225687805970687,0,0.9932669851660886,0
0,0,0,162.49026080594365
0,0,0,366.5564767613304
0,0,0,571.0552872380862
-0.017624104111365533,0,0.9932669851660886,0
0,0,0,162.43063022566432
0,0,0,366.49619035659094
0,0,0,570.9956291737919
-0.016415569104506506,0,0.9932669851660886,0
0,0,0,162.3615691114383
0,0,0,366.42704945440016
0,0,0,570.9265511292729
-0.016415569104506506,0,0.9932669851660886,0
0,0,0,162.3615691114383
0,0,0,366.42704945440016
0,0,0,570.9265511292729
-0.016415569104506506,0,0.9932669851660886,0
0,0,0,162.23409358491915
0,0,0,366.2986532272787
0,0,0,570.7990518908688
-0.016415569104506506,0,0.9932669851660886,0
0,0,0,162.19230273572273
0,0,0,366.25676441922775
0,0,0,570.7572539409721
-0.016415569104506506,0,0.9932669851660886,0
0,0,0,162.14499080780956
0,0,0,366.20933402666765
0,0,0,570.7099331322981
-0.016214147131936245,0,0.9932669851660886,0
0,0,0,162.06848731549618
0,0,0,366.1325625154128
0,0,0,570.6334129759837
-0.01540846068527597,0,0.9932669851660886,0
0,0,0,162.02578176650485
0,0,0,366.0897746023355
0,0,0,570.5906978301589
-0.01057438461266805,0,0.9932669851660886,0
0,0,0,161.9372595843026
0,0,0,366.00095646150356
0,0,0,570.5021579226009
-0.0050354051192922356,0,0.9932669851660886,0
0,0,0,161.88970317572793
0,0,0,365.95331188572567
0,0,0,570.4545955540214
-0.0014099122131785956,0,0.9932669851660886,0
0,0,0,161.79205600675613
0,0,0,365.85535439779636
0,0,0,570.3569496437339
-0.001007080115954297,0,0.9932669851660886,0
0,0,0,161.7406531328941
0,0,0,365.8038638285159
0,0,0,570.3055539303169
-0.001007080115954297,0,0.9932669851660886,0
0,0,0,161.64016519439247
0,0,0,365.7030837749783
0,0,0,570.2050846302786
-0.001007080115954297,0,0.9932669851660886,0
0,0,0,161.52741274449534
0,0,0,365.58998777760917
0,0,0,570.0923567400109
-0.001007080115954297,0,0.9932669851660886,0
0,0,0,161.41191431449548
0,0,0,365.47416649172453
0,0,0,569.976885220448
-0.001007080115954297,0,0.9932669851660886,0
0,0,0,161.36270977377484
0,0,0,365.4163074542443
0,0,0,569.919332020136
-0.001007080115954297,0,0.9932669851660886,0
0,0,0,161.20832130451217
0,0,0,365.2441932911672
0,0,0,569.7476506585172
-0.0012084961591190264,0,0.9932669851660886,0
0,0,0,161.0729406442362
0,0,0,365.0835123277625
0,0,0,569.587497307538
-0.003121949369160523,0,0.9932669851660886,0
0,0,0,160.9587920160928
0,0,0,364.9501376506372
0,0,0,569.454456756122
-0.005438238378634977,0,0.9932669851660886,0
0,0,0,160.89491333947794
0,0,0,364.88010382546986
0,0,0,569.3845186227046
-0.006042488639891035,0,0.9932669851660886,0
0,0,0,160.77960685390457
0,0,0,364.7494839804735
0,0,0,569.2541831062998
-0.006042488639891035,0,0.9932669851660886,0
0,0,0,160.70703656410475
0,0,0,364.6699197847557
0,0,0,569.1747221587005
-0.006042488639891035,0,0.9932669851660886,0
0,0,0,160.591549809701
0,0,0,364.5405566603272
0,0,0,569.0455986794341
-0.006042488639891035,0,0.9932669851660886,0
0,0,0,160.52285464897116
0,0,0,364.46614059241375
0,0,0,568.971258841162
-0.006042488639891035,0,0.9932669851660886,0
0,0,0,160.47072651829208
0,0,0,364.4043824008346
0,0,0,568.9096689673844
-0.00674744790111285,0,0.9932669851660886,0
0,0,0,160.28387301739102
0,0,0,364.1839202115402
0,0,0,568.689781819718
-0.012085026306946505,0,0.9932669851660886,0
0,0,0,160.15165458904573
0,0,0,364.0215392945607
0,0,0,568.5279082625698
-0.02326401611458819,0,0.9932669851660886,0
0,0,0,159.99683307015317
0,0,0,363.84388807154295
0,0,0,568.3505501533559
-0.029407680156742562,0,0.9932669851660886,0
0,0,0,159.84686819883336
0,0,0,363.6764080830278
0,0,0,568.1832568727112
-0.03122060944323024,0,0.9932669851660886,0
0,0,0,159.7579955601685
0,0,0,363.58114878974754
0,0,0,568.0880254793243
-0.03122060944323024,0,0.9932669851660886,0
0,0,0,159.61627861916418
0,0,0,363.4252280022376
0,0,0,567.9322131478843
-0.03122060944323024,0,0.9932669851660886,0
0,0,0,159.53021989129405
0,0,0,363.3325695500707
0,0,0,567.8395505376458
-0.030918453014528054,0,0.9932669851660886,0
0,0,0,159.38013093992114
0,0,0,363.16727911502977
0,0,0,567.6743283694714
-0.030112705587759976,0,0.9932669851660886,0
0,0,0,159.38013093992114
0,0,0,363.16727911502977
0,0,0,567.6743283694714
-0.02487544800345086,0,0.9932669851660886,0
0,0,0,159.14812880537653
0,0,0,362.9034715995891
0,0,0,567.4107188274244
-0.020242616772519866,0,0.9932669851660886,0
