tick,time,steerCmd,brakeCmd,throttleCmd,distance1,distance2
0,22:24:28:204,0.0,0.0,0.0,649.7371849705669,581.1597480079419
1,22:24:28:214,0.0,0.0,0.0,649.7382126441387,581.1613638818021
2,22:24:28:235,0.0,0.0,0.0,649.7382126441387,581.1613638818021
3,22:24:28:249,0.0,0.0,0.0,649.7398281996428,581.1642416143245
4,22:24:28:263,0.0,0.0,0.0,649.7398281996428,581.1642416143245
5,22:24:28:286,0.0,0.0,0.0,649.7398281996428,581.1642416143245
6,22:24:28:294,0.0,0.0,0.0,649.7419773943192,581.1682363301978
7,22:24:28:312,0.0,0.0,0.0,649.7419773943192,581.1682363301978
8,22:24:28:328,0.0,0.0,0.0,649.7419773943192,581.1682363301978
9,22:24:28:342,0.0,0.0,0.0,649.7419773943192,581.1682363301978
10,22:24:28:362,0.0,0.0,0.0,649.7419773943192,581.1682363301978
11,22:24:28:375,0.0,0.0,0.0,649.7419773943192,581.1682363301978
12,22:24:28:392,0.0,0.0,0.0,649.7419773943192,581.1682363301978
13,22:24:28:410,0.0,0.0,0.0,649.7441113180649,581.1722948774535
14,22:24:28:423,0.0,0.0,0.0,649.7445894248091,581.2016900617826
15,22:24:28:442,0.0,0.0,0.0,649.7443882593717,581.2066685808697
16,22:24:28:457,0.0,0.0,0.0,649.7443882593717,581.2066685808697
17,22:24:28:473,0.0,0.0,0.0,649.7442138383765,581.214438502693
18,22:24:28:491,0.0,0.0,0.0,649.7442138383765,581.214438502693
19,22:24:28:502,0.0,0.0,0.0,649.7441586482809,581.2208759172881
20,22:24:28:523,0.0,0.0,0.0,649.7441586482809,581.2208759172881
21,22:24:28:534,0.0,0.0,0.0,649.7441716352813,581.2293440972628
22,22:24:28:550,0.0,0.0,0.0,649.7441716352813,581.2293440972628
23,22:24:28:571,0.0,0.0,0.0,649.7441716352813,581.2293440972628
24,22:24:28:584,0.0,0.0,0.0,649.7441716352813,581.2293440972628
25,22:24:28:605,0.0,0.0,0.0,649.7441716352813,581.2293440972628
26,22:24:28:615,0.0,0.0,0.0,649.7441716352813,581.2293440972628
27,22:24:28:631,0.0,0.0,0.0,649.7441716352813,581.2293440972628
28,22:24:28:652,0.0,0.0,0.0,649.7442264962268,581.2384239567511
29,22:24:28:663,0.0,0.0,0.0,649.7443572437907,581.2625331695581
30,22:24:28:681,0.0,0.0,0.0,649.7444194524559,581.2656805272335
31,22:24:28:697,0.0,0.0,0.0,649.7444194524559,581.2656805272335
32,22:24:28:711,0.0,0.0,0.0,649.7444526657667,581.2692295964156
33,22:24:28:733,0.0,0.0,0.0,649.7444526657667,581.2692295964156
34,22:24:28:743,0.0,0.0,0.0,649.7444891681414,581.2732432164073
35,22:24:28:759,0.0,0.0,0.0,649.7444891681414,581.2732432164073
36,22:24:28:780,0.0,0.0,0.0,649.7445270987113,581.279568185881
37,22:24:28:790,0.0,0.0,0.0,649.7445270987113,581.279568185881
38,22:24:28:809,0.0,0.0,0.0,649.7445270987113,581.279568185881
39,22:24:28:822,0.0,0.0,0.0,649.7445270987113,581.279568185881
40,22:24:28:841,0.0,0.0,0.0,649.7445270987113,581.279568185881
41,22:24:28:857,0.0,0.0,0.0,649.7445270987113,581.279568185881
42,22:24:28:870,0.0,0.0,0.0,649.7445270987113,581.279568185881
43,22:24:28:889,0.0,0.0,0.0,649.7445270987113,581.279568185881
44,22:24:28:903,0.0,0.0,0.0,649.7445913570739,581.3151199875022
45,22:24:28:920,0.0,0.0,0.0,649.7446206725622,581.3174386444351
46,22:24:28:936,0.0,0.0,0.0,649.7446206725622,581.3174386444351
47,22:24:28:951,0.0,0.0,0.0,649.7446201172863,581.3201411284
48,22:24:28:971,0.0,0.0,0.0,649.7446201172863,581.3201411284
49,22:24:28:983,0.0,0.0,0.0,649.7446204145014,581.3235791069053
50,22:24:29:002,0.0,0.0,0.0,649.7446204145014,581.3235791069053
51,22:24:29:017,0.0,0.0,0.0,649.7446204145014,581.3235791069053
52,22:24:29:031,0.0,0.0,0.0,649.7446215078,581.3280418154577
53,22:24:29:050,0.0,0.0,0.0,649.7446215078,581.3280418154577
