tick,time,Steer,Brake,Throttle,Distance_Bicycle,Distance_Motorbike,Distance_SmallCar,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,Speed_kmh,Heading,GNSS_Latitude,GNSS_Longitude,Height,Reverse,Hand_Brake,Manual,Gear,Collision_History,Nearby_Vehicles_Count,Nearby_Vehicles_Details
0,22:03:27:401,0.0,0.6212635636329651,0.6212635636329651,162.81973608266028,366.9127435861275,581.1855527766812,-433.8999938964844,34.900001525878906,0.7396619319915771,0.0,0.0,0.0,17.767735290527344,N,,,,False,False,False,N,,,
1,22:03:27:439,0.0,0.6212635636329651,0.6212635636329651,162.821835640644,366.9210810879473,581.1895413058678,-433.8999938964844,34.900001525878906,0.4926329553127289,0.0,0.0,0.0,19.44147663116455,N,,,,False,False,False,N,,,
2,22:03:27:466,0.0,0.6212635636329651,0.6212635636329651,162.82287727647784,366.9247991237854,581.1913280251835,-433.8999938964844,34.900001525878906,0.38403013348579407,0.0,0.0,0.0,20.132537269592287,N,,,,False,False,False,N,,,
3,22:03:27:491,0.0,0.6212635636329651,0.6212635636329651,162.82287727647784,366.9247991237854,581.1913280251835,-433.8999938964844,34.900001525878906,0.38403013348579407,0.0,0.0,0.0,20.132537269592287,N,,,,False,False,False,N,,,
4,22:03:27:515,0.0,0.6212635636329651,0.6212635636329651,162.82619108729722,366.9354159604464,581.196455997058,-433.8999938964844,34.900001525878906,0.07893310487270355,0.0,0.0,0.0,21.9621883392334,N,,,,False,False,False,N,,,
5,22:03:27:540,0.0,0.6212635636329651,0.6212635636329651,162.82742143156446,366.9390075449177,581.1981991207299,-433.8999938964844,34.900001525878906,-0.02266261912882328,0.0,0.0,0.0,18.655698394777037,N,,,,False,False,False,N,,,
6,22:03:27:549,0.0,0.6212635636329651,0.6212635636329651,162.828241622402,366.94131953473806,581.199323371557,-433.8999938964844,34.900001525878906,-0.0876455307006836,0.0,0.0,0.0,14.899960327149978,N,,,,False,False,False,N,,,
7,22:03:27:576,0.0,0.6212635636329651,0.6212635636329651,162.82838800589374,366.94172582468383,581.1995211104983,-433.8999938964844,34.900001525878906,-0.09903182834386826,0.0,0.0,0.0,0.6011319623716663,N,,,,False,False,False,N,,,
8,22:03:27:602,0.0,0.6212635636329651,0.6212635636329651,162.82706664978107,366.9402057113177,581.1981565997985,-433.8987731933594,34.89934158325195,-0.09049827605485916,0.18476343154907227,-0.00033569338847883046,-0.29107666015625,1.167506139042323,N,,,,False,False,False,N,,,
9,22:03:27:629,0.0,0.6212635636329651,0.6212635636329651,162.8265979493148,366.93960456870366,581.1976607752797,-433.89837646484375,34.89920425415039,-0.08473457396030426,0.2503742277622223,-0.0011291502742096782,-0.3938293755054474,1.2028778415906727,N,,,,False,False,False,N,,,
