tick,time,Steer,Brake,Throttle,Distance_Bicycle,Distance_Motorbike,Distance_SmallCar,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,Speed_kmh,Heading,GNSS_Latitude,GNSS_Longitude,Height,Reverse,Hand_Brake,Manual,Gear,Collision_History,Nearby_Vehicles_Count,Nearby_Vehicles_Details
0,22:04:09:171,0.0,0.6212635636329651,0.6212635636329651,162.8278333749754,366.86664781912236,581.1651783923402,-433.8999938964844,34.900001525878906,0.4866362512111664,0.0,0.0,0.0,19.477072334289552,N,,,,False,False,False,N,,,
1,22:04:09:200,0.0,0.6212635636329651,0.6212635636329651,162.82841153168278,366.8696539243732,581.1667061507678,-433.8999938964844,34.900001525878906,0.38233742117881775,0.0,0.0,0.0,20.140258598327637,N,,,,False,False,False,N,,,
2,22:04:09:224,0.0,0.6212635636329651,0.6212635636329651,162.82841153168278,366.8696539243732,581.1667061507678,-433.8999938964844,34.900001525878906,0.38233742117881775,0.0,0.0,0.0,20.140258598327637,N,,,,False,False,False,N,,,
3,22:04:09:247,0.0,0.6212635636329651,0.6212635636329651,162.8307799956589,366.87935635402516,581.1723630341472,-433.8999938964844,34.900001525878906,0.04143634811043739,0.0,0.0,0.0,22.17063331604004,N,,,,False,False,False,N,,,
4,22:04:09:275,0.0,0.6212635636329651,0.6212635636329651,162.83207223752063,366.8838014596517,581.1750758092923,-433.8999938964844,34.900001525878906,-0.10963226109743118,0.0,0.0,0.0,13.730185031890949,N,,,,False,False,False,N,,,
5,22:04:09:307,0.0,0.6212635636329651,0.6212635636329651,162.83147393849467,366.88295594176344,581.174611409283,-433.8995666503906,34.900360107421875,-0.09844524413347244,0.06772132217884064,-3.0517576306010596e-05,-0.1009826511144638,0.47134011582997676,N,,,,False,False,False,N,,,
6,22:04:09:340,0.0,0.6212635636329651,0.6212635636329651,162.83081151269863,366.88199366656687,581.1744046308221,-433.8990783691406,34.8996467590332,-0.09087913483381271,0.14347495138645172,-0.00039672848652116954,-0.2120055854320526,0.9159699960122438,N,,,,False,False,False,N,,,
7,22:04:09:371,0.0,0.6212635636329651,0.6212635636329651,162.83081151269863,366.88199366656687,581.1744046308221,-433.8990783691406,34.8996467590332,-0.09087913483381271,0.14347495138645172,-0.00039672848652116954,-0.2120055854320526,0.9159699960122438,N,,,,False,False,False,N,,,
8,22:04:09:396,0.0,0.6212635636329651,0.6212635636329651,162.83010036855015,366.8801949239753,581.1746734219881,-433.89874267578125,34.899410247802734,-0.07046401500701904,0.19384758174419403,-0.0008544921875,-0.2790527045726776,1.0875082221177887,N,,,,False,False,False,N,,,
9,22:04:09:422,0.0,0.6212635636329651,0.6212635636329651,162.83011224184244,366.8800120316722,581.1748376854783,-433.8988037109375,34.899356842041016,-0.06497329473495483,0.18684664368629456,-0.0007934569730423391,-0.267486572265625,1.0642652392682825,N,,,,False,False,False,N,,,
10,22:04:09:450,0.0,0.6212635636329651,0.6212635636329651,162.83012050223462,366.8796715259635,581.175255287388,-433.89898681640625,34.8992805480957,-0.05521125718951225,0.16522227227687836,-0.000579833984375,-0.23489384353160858,0.964176728423291,N,,,,False,False,False,N,,,
11,22:04:09:476,0.0,0.6212635636329651,0.6212635636329651,162.83012050223462,366.8796715259635,581.175255287388,-433.89898681640625,34.8992805480957,-0.05521125718951225,0.16522227227687836,-0.000579833984375,-0.23489384353160858,0.964176728423291,N,,,,False,False,False,N,,,
12,22:04:09:500,0.0,0.6212635636329651,0.6212635636329651,162.83016888532333,366.87953082529873,581.1754752537894,-433.8990783691406,34.899253845214844,-0.050298575311899185,0.15091301500797272,-0.00048828116268850863,-0.21408076584339142,0.8936274118103633,N,,,,False,False,False,N,,,
13,22:04:09:549,0.0,0.6212635636329651,0.6212635636329651,162.83038480327886,366.87885265154796,581.176442000322,-433.8995361328125,34.89920425415039,-0.035310324281454086,0.09750094264745712,-0.000152587890625,-0.138885498046875,0.5993466521281828,N,,,,False,False,False,N,,,
14,22:04:09:590,0.0,0.6212635636329651,0.6212635636329651,162.8305172312712,366.8785014984213,581.1769342616946,-433.8997497558594,34.89919662475586,-0.028891906142234802,0.06996845453977585,-6.103515261202119e-05,-0.100860595703125,0.43108685873183655,N,,,,False,False,False,N,,,
15,22:04:09:623,0.0,0.6212635636329651,0.6212635636329651,162.83058401709775,366.8783505074914,581.1771884065221,-433.8998718261719,34.899200439453125,-0.025758208706974983,0.055228907614946365,-3.2568893328782655e-12,-0.0805663987994194,0.3365284033145644,N,,,,False,False,False,N,,,
16,22:04:09:652,0.0,0.6212635636329651,0.6212635636329651,162.83068525699673,366.87812354490217,581.1774823055761,-433.8999938964844,34.89920425415039,-0.022821655496954918,0.040427885949611664,2.7725671316147782e-05,-0.060150131583213806,0.2385314900457881,N,,,,False,False,False,N,,,
17,22:04:09:691,0.0,0.6212635636329651,0.6212635636329651,162.8307336110088,366.8778908505619,581.177666840846,-433.9000549316406,34.89921188354492,-0.020867347717285156,0.029588377103209496,4.6745310100959614e-05,-0.0451049767434597,0.16377343306837164,N,,,,False,False,False,N,,,
18,22:04:09:699,0.0,0.6212635636329651,0.6212635636329651,162.8307336110088,366.8778908505619,581.177666840846,-433.9000549316406,34.89921188354492,-0.020867347717285156,0.029588377103209496,4.6745310100959614e-05,-0.0451049767434597,0.16377343306837164,N,,,,False,False,False,N,,,
19,22:04:09:727,0.0,0.6212635636329651,0.6212635636329651,162.83081830797678,366.8777475416642,581.1778597692548,-433.900146484375,34.89921569824219,-0.01962883025407791,0.021952226758003235,5.686566510121338e-05,-0.0343627855181694,0.1117201076936288,N,,,,False,False,False,N,,,
20,22:04:09:751,0.0,0.6212635636329651,0.6212635636329651,162.83081830797678,366.8777475416642,581.1778597692548,-433.900146484375,34.89921569824219,-0.01962883025407791,0.021952226758003235,5.686566510121338e-05,-0.0343627855181694,0.1117201076936288,N,,,,False,False,False,N,,,
21,22:04:09:793,0.0,0.6212635636329651,0.6212635636329651,162.83090945302365,366.8772033879426,581.1781207845889,-433.9002380371094,34.899227142333984,-0.018476370722055435,0.012403623200953007,6.560956535395235e-05,-0.02062988094985485,0.04304745962501134,N,,,,False,False,False,N,,,
22,22:04:09:815,0.0,0.6212635636329651,0.6212635636329651,162.83088247704248,366.8767852691531,581.1782289514155,-433.9002685546875,34.899227142333984,-0.018161125481128693,0.008728981018066406,6.783082790207118e-05,-0.01519775576889515,0.02266141543371795,N,,,,False,False,False,N,,,
23,22:04:09:842,0.0,0.6212635636329651,0.6212635636329651,162.83088312182377,366.87670473424754,581.1782322381863,-433.9002685546875,34.899227142333984,-0.01808990351855755,0.00716486806049943,6.856731488369405e-05,-0.0128173828125,0.01014292051427141,N,,,,False,False,False,N,,,
24,22:04:09:881,0.0,0.6212635636329651,0.6212635636329651,162.83091682308887,366.8765344028931,581.1782883328347,-433.9002990722656,34.89923095703125,-0.01803283579647541,0.005027018953114748,6.939942977624014e-05,-0.009490965865552425,0.003197653304048729,N,,,,False,False,False,N,,,
25,22:04:09:907,0.0,0.6212635636329651,0.6212635636329651,162.83091832764836,366.8764470877599,581.1783324930769,-433.9002990722656,34.89923095703125,-0.018079794943332672,0.0040229810401797295,6.969578680582345e-05,-0.007904052734375,0.010927708026580277,N,,,,False,False,False,N,,,
26,22:04:09:932,0.0,0.6212635636329651,0.6212635636329651,162.83091832764836,366.8764470877599,581.1783324930769,-433.9002990722656,34.89923095703125,-0.018079794943332672,0.0040229810401797295,6.969578680582345e-05,-0.007904052734375,0.010927708026580277,N,,,,False,False,False,N,,,
27,22:04:09:964,-0.01581130363047123,0.0,0.44020307064056396,162.83093199893597,366.8755862239954,581.1784329399546,-433.9002990722656,34.899234771728516,-0.018314016982913017,0.0017007170245051384,7.102642121026292e-05,-0.003997802268713713,0.012199167978587585,N,,,,False,False,False,N,,,
28,22:04:10:004,-0.01581130363047123,0.0,0.5495340824127197,162.82645347838513,366.8708322985239,581.1739482021602,-433.89581298828125,34.899169921875,-0.018616141751408577,0.02342754788696766,-0.0029296875,-0.0015258787898346782,0.8686233686429294,N,,,,False,False,False,1,,,
29,22:04:10:030,-0.01581130363047123,0.0,0.707983136177063,162.81199979513715,366.8561668780517,581.1595026278335,-433.88134765625,34.89900207519531,-0.019094962626695633,0.07348600029945374,-0.010925293900072575,0.0014387465780600905,1.765680781201494,N,,,,False,False,False,1,,,
30,22:04:10:056,-0.01581130363047123,0.0,0.707983136177063,162.80095881422008,366.8450549806142,581.1484647468056,-433.87030029296875,34.89887619018555,-0.019367676228284836,0.10161954909563065,-0.01666259765625,0.002861828776076436,2.1662249378464575,N,,,,False,False,False,1,,,
31,22:04:10:084,-0.01581130363047123,0.0,0.7907447814941406,162.7893378999891,366.83337519475936,581.1368462597512,-433.8586730957031,34.898746490478516,-0.019581755623221397,0.12497196346521378,-0.02252197079360485,0.003971542231738567,2.4894167972647443,N,,,,False,False,False,1,,,
32,22:04:10:112,-0.01581130363047123,0.0,0.7907447814941406,162.77506360881006,366.8189370773795,581.1225766478503,-433.8443908691406,34.89858627319336,-0.019796600565314293,0.14684906601905823,-0.02947997860610485,0.004972315393388271,2.8021189315760693,N,,,,False,False,False,1,,,
33,22:04:10:137,-0.01581130363047123,0.0,0.9724549651145935,162.75965908054695,366.8034654037044,581.1071741280676,-433.8289794921875,34.89841842651367,-0.01997394487261772,0.16458022594451904,-0.0368957556784153,0.005764727480709553,3.0809052960850156,N,,,,False,False,False,1,,,
34,22:04:10:161,-0.01581130363047123,0.0,0.9906898140907288,162.70850343518202,366.75182863880514,581.0560280665954,-433.7778015136719,34.89785385131836,-0.02029884234070778,0.19544585049152374,-0.06097412109375,0.007183348294347525,3.776592922954626,N,,,,False,False,False,1,,,
35,22:04:10:188,-0.01581130363047123,0.0,0.9906898140907288,162.6844030835267,366.7276400603907,581.0319133793516,-433.7536926269531,34.8975830078125,-0.020353201776742935,0.20116272568702698,-0.0721435397863388,0.007500023581087589,4.036041110519829,N,,,,False,False,False,1,,,
36,22:04:10:205,-0.01581130363047123,0.0,0.9906898140907288,162.6671968976813,366.71038944120784,581.0147072692464,-433.7364807128906,34.89738464355469,-0.020378418266773224,0.2031366378068924,-0.080047607421875,0.0076493253000080585,4.203985295254246,N,,,,False,False,False,1,,,
37,22:04:10:239,-0.01581130363047123,0.0,0.9906898140907288,162.61966693631447,366.66260821451203,580.9671797620532,-433.6889343261719,34.89683532714844,-0.020421447232365608,0.20281562209129333,-0.1017761155962944,0.007857405580580235,4.613850141654384,N,,,,False,False,False,1,,,
38,22:04:10:267,-0.01581130363047123,0.0,0.9906898140907288,162.59526094514598,366.638132485521,580.942758421778,-433.6645202636719,34.89654541015625,-0.020441321656107903,0.20058216154575348,-0.1128845065832138,0.007893207482993603,4.801106503265824,N,,,,False,False,False,1,,,
39,22:04:10:296,-0.0573098249733448,0.0,0.9906898140907288,162.57531047753213,366.6181379533753,580.9227913896523,-433.6445617675781,34.89619445800781,-0.020426254719495773,0.19820524752140045,-0.1274413913488388,0.010397026315331459,4.943759942764739,N,,,,False,False,False,1,,,
40,22:04:10:328,-0.05811578780412674,0.0,0.9906898140907288,162.49756907042155,366.539944617856,580.8450716642268,-433.5667724609375,34.893672943115234,-0.02040359377861023,0.18617728352546692,-0.2354736179113388,0.030671635642647743,5.445345132220061,N,,,,False,False,False,1,,,
41,22:04:10:354,-0.05811578780412674,0.0,0.9906898140907288,162.44798131088777,366.4901710781245,580.795473980957,-433.51715087890625,34.89176559448242,-0.020352095365524292,0.1782747507095337,-0.3139037787914276,0.03789592534303665,5.730970021122321,N,,,,False,False,False,1,,,
