tick,time,steerCmd,brakeCmd,throttleCmd,distance1,distance2,distanc3,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,distance3
0,21:33:19:305,0.0,0.6212635636329651,0.6212635636329651,162.82953659915046,366.867752137899,,-433.8999938964844,34.900001525878906,0.8460339307785034,0.0,0.0,0.0,581.1592035455809
1,21:33:19:332,0.0,0.6212635636329651,0.6212635636329651,162.8297931831605,366.87040966486677,,-433.8999938964844,34.900001525878906,0.7537344694137573,0.0,0.0,0.0,581.1601824213309
2,21:33:19:367,0.0,0.6212635636329651,0.6212635636329651,162.8297931831605,366.87040966486677,,-433.8999938964844,34.900001525878906,0.7537344694137573,0.0,0.0,0.0,581.1601824213309
3,21:33:19:378,0.0,0.6212635636329651,0.6212635636329651,162.83112772002414,366.87952288701814,,-433.8999938964844,34.900001525878906,0.43051809072494507,0.0,0.0,0.0,581.1647298532423
4,21:33:19:423,0.0,0.6212635636329651,0.6212635636329651,162.8326196902817,366.8865545624039,,-433.8999938964844,34.900001525878906,0.19291090965270996,0.0,0.0,0.0,581.1685423416322
5,21:33:19:456,0.0,0.6212635636329651,0.6212635636329651,162.83340382008166,366.8898500381647,,-433.8999938964844,34.900001525878906,-0.012248954735696316,0.0,0.0,0.0,581.1706071750901
6,21:33:19:483,0.0,0.6212635636329651,0.6212635636329651,162.83494908054953,366.8953522215184,,-433.8999938964844,34.900001525878906,-0.09582827985286713,0.0,0.0,0.0,581.1736411761108
7,21:33:19:510,0.0,0.6212635636329651,0.6212635636329651,162.83456752823403,366.89499601372955,,-433.8996887207031,34.90007400512695,-0.09685836732387543,0.048139169812202454,0.0004086587578058243,-0.0872192233800888,581.1735673460624
8,21:33:19:536,0.0,0.6212635636329651,0.6212635636329651,162.83456752823403,366.89499601372955,,-433.8996887207031,34.90007400512695,-0.09685836732387543,0.048139169812202454,0.0004086587578058243,-0.0872192233800888,581.1735673460624
9,21:33:19:559,0.0,0.6212635636329651,0.6212635636329651,162.83275546755175,366.89223497279136,,-433.8982238769531,34.899784088134766,-0.07581546902656555,0.27477848529815674,-0.0018005366437137127,-0.47741690278053284,581.1726816887772
10,21:33:19:585,0.0,0.6212635636329651,0.6212635636329651,162.83251781350955,366.8918345754342,,-433.8981018066406,34.89964294433594,-0.06945464760065079,0.29141682386398315,-0.0020751948468387127,-0.5012511610984802,581.1727137036315
11,21:33:19:628,0.0,0.6212635636329651,0.6212635636329651,162.8323816726004,366.8911657836272,,-433.8981628417969,34.89937973022461,-0.0561717227101326,0.2856043577194214,-0.001983642578125,-0.48318472504615784,581.1731725890724
12,21:33:19:653,0.0,0.6212635636329651,0.6212635636329651,162.83248788275858,366.89071843229476,,-433.8984375,34.89923095703125,-0.04602577164769173,0.25096163153648376,-0.0014343259390443563,-0.4208373427391052,581.1738680436695
13,21:33:19:685,0.0,0.6212635636329651,0.6212635636329651,162.83260699571633,366.89046562987363,,-433.8987121582031,34.8991584777832,-0.03782188147306442,0.20824562013149261,-0.0008544921875,-0.3480224609375,581.1745189385248
14,21:33:19:710,0.0,0.6212635636329651,0.6212635636329651,162.83260699571633,366.89046562987363,,-433.8987121582031,34.8991584777832,-0.03782188147306442,0.20824562013149261,-0.0008544921875,-0.3480224609375,581.1745189385248
15,21:33:19:733,0.0,0.6212635636329651,0.6212635636329651,162.83260699571633,366.89046562987363,,-433.8987121582031,34.8991584777832,-0.03782188147306442,0.20824562013149261,-0.0008544921875,-0.3480224609375,581.1745189385248
16,21:33:19:760,0.0,0.6212635636329651,0.6212635636329651,162.83287540721727,366.8899104908865,,-433.8992004394531,34.89912033081055,-0.02782546915113926,0.13827717304229736,-0.00018310549785383046,-0.2323608547449112,581.1756407530255
17,21:33:19:793,0.0,0.6212635636329651,0.6212635636329651,162.83309419233228,366.88981901562954,,-433.8994445800781,34.89912414550781,-0.024225082248449326,0.1073978915810585,3.829456545645371e-05,-0.182098388671875,581.1761561651484
18,21:33:19:813,0.0,0.6212635636329651,0.6212635636329651,162.83320527891354,366.88981654580914,,-433.8995666503906,34.89912796020508,-0.022776031866669655,0.09302717447280884,0.00012095180136384442,-0.1586913764476776,581.1763854487476
19,21:33:19:839,0.0,0.6212635636329651,0.6212635636329651,162.8333159655642,366.8897230440836,,-433.8997497558594,34.899139404296875,-0.02076423540711403,0.07098615169525146,0.0002248976961709559,-0.12289426475763321,581.1767719308161
20,21:33:19:864,0.0,0.6212635636329651,0.6212635636329651,162.8333159655642,366.8897230440836,,-433.8997497558594,34.899139404296875,-0.02076423540711403,0.07098615169525146,0.0002248976961709559,-0.12289426475763321,581.1767719308161
21,21:33:19:890,0.0,0.6212635636329651,0.6212635636329651,162.8333159655642,366.8897230440836,,-433.8997497558594,34.899139404296875,-0.02076423540711403,0.07098615169525146,0.0002248976961709559,-0.12289426475763321,581.1767719308161
22,21:33:19:914,0.0,0.6212635636329651,0.6212635636329651,162.83350288587772,366.8888174972727,,-433.9000244140625,34.899166107177734,-0.018297577276825905,0.034820303320884705,0.0003374826046638191,-0.0635681003332138,581.1775640244813
23,21:33:19:942,0.0,0.6212635636329651,0.6212635636329651,162.83359413597034,366.8888189341145,,-433.9001159667969,34.899166107177734,-0.018078232184052467,0.029110264033079147,0.00034865253837779164,-0.0540161095559597,581.1777038237979
24,21:33:19:974,0.0,0.6212635636329651,0.6212635636329651,162.83362907501612,366.8885826254122,,-433.900146484375,34.899173736572266,-0.01781185157597065,0.02025151066482067,0.0003623903030529618,-0.0390624925494194,581.1778568158454
25,21:33:20:027,0.0,0.6212635636329651,0.6212635636329651,162.83372510509406,366.88845229820566,,-433.9002380371094,34.89917755126953,-0.01779056526720524,0.014384377747774124,0.00036904856096953154,-0.02886962704360485,581.1780240534373
26,21:33:20:037,0.0,0.6212635636329651,0.6212635636329651,162.83369811138576,366.8883200224711,,-433.9002380371094,34.89918518066406,-0.01784946396946907,0.011017094366252422,0.00037197512574493885,-0.02291869930922985,581.1780493295039
27,21:33:20:071,0.0,0.6212635636329651,0.6212635636329651,162.83373577971912,366.8880816752389,,-433.9002685546875,34.899192810058594,-0.017987823113799095,0.007267320994287729,0.00037447476643137634,-0.01611328311264515,581.1781300883266
28,21:33:20:113,0.0003021240117959678,0.07973353564739227,0.0,162.83377343076336,366.88784617731136,,-433.9002990722656,34.89919662475586,-0.01816997490823269,0.004719660617411137,0.000375682779122144,-0.011260985396802425,581.1781949028016
29,21:33:20:145,0.0003021240117959678,0.07973353564739227,0.0,162.83377899925878,366.88758658400354,,-433.9002990722656,34.89919662475586,-0.018352508544921875,0.0030189433600753546,0.0003762687847483903,-0.007873534224927425,581.1782109310129
30,21:33:20:171,0.0003021240117959678,0.13204194605350494,0.0,162.83377980486617,366.88758929782045,,-433.9002990722656,34.89919662475586,-0.018352508544921875,0.0030189433600753546,0.0003762687847483903,-0.007873534224927425,581.178212342574
31,21:33:20:196,0.0003021240117959678,0.13204194605350494,0.0,162.83377980486617,366.88758929782045,,-433.9002990722656,34.89919662475586,-0.018352508544921875,0.0030189433600753546,0.0003762687847483903,-0.007873534224927425,581.178212342574
32,21:33:20:218,0.0003021240117959678,0.13204194605350494,0.0,162.83379067980525,366.8869374327171,,-433.9002990722656,34.899192810058594,-0.018467864021658897,0.002513509476557374,0.0003763084241654724,-0.006591796409338713,581.1782605812048
33,21:33:20:244,0.0003021240117959678,0.11275610327720642,0.0,162.83379507357841,366.8867078587402,,-433.9002990722656,34.89919662475586,-0.018593063578009605,0.002083207480609417,0.00037638170761056244,-0.0054931640625,581.1782728739677
